transaction_id,customer_id,timestamp,amount,flag_structuring,flag_high_velocity,flag_international_high,flag_prior,ml_susp_score,alert_score
TX_0055520,CUST_02072,2023-10-29 21:05:55,144.37,1,0,1,0,0.6933036,1.0
TX_0074013,CUST_02335,2025-02-03 06:13:10,18.19,1,0,0,1,0.8421286,0.9354876488676819
TX_0020923,CUST_04578,2024-07-31 18:15:18,327.85,1,0,1,0,0.5886372,0.9332613968896104
TX_0055573,CUST_04632,2024-11-21 06:19:44,158.8,1,0,1,0,0.57156146,0.9223733741720945
TX_0071800,CUST_04399,2024-05-06 04:21:01,661.0,1,0,1,0,0.52224797,0.8909295300008871
TX_0037641,CUST_00779,2024-06-22 11:00:42,177.22,1,0,1,0,0.5094974,0.882799375005885
TX_0028798,CUST_00995,2023-11-19 12:41:40,81.45,1,0,1,1,0.25518572,0.8800501037221263
TX_0051280,CUST_01264,2024-11-05 08:23:48,120.47,1,0,0,1,0.7529865,0.8786478247931478
TX_0011476,CUST_01264,2023-08-08 15:01:26,166.96,1,0,0,1,0.72070104,0.8580615986928509
TX_0007080,CUST_00690,2024-04-08 21:29:09,405.89,1,0,1,1,0.20730907,0.8495224370662057
TX_0072605,CUST_04760,2025-08-16 02:01:23,13.24,1,0,0,1,0.68233323,0.8335970698890042
TX_0053963,CUST_02056,2023-05-30 16:29:59,135.68,1,0,0,1,0.6812332,0.8328956726976278
TX_0073033,CUST_03866,2024-05-21 16:16:11,233.51,1,0,1,0,0.42304993,0.8276777222617435
TX_0079207,CUST_03508,2025-02-19 07:03:17,170.27,1,0,1,0,0.42216945,0.8271163052129024
TX_0044466,CUST_02281,2024-07-04 17:39:47,65.66,1,0,0,0,0.9187419,0.8249307859598296
TX_0065882,CUST_01155,2025-08-16 08:21:17,88.95,1,0,1,0,0.4137926,0.8217749689205128
TX_0062989,CUST_03714,2023-05-23 09:11:55,3.1,1,0,0,1,0.6583794,0.8183233431740822
TX_0019633,CUST_04195,2025-02-09 01:34:58,135.22,1,0,0,0,0.90395707,0.8155035402362883
TX_0048127,CUST_03986,2025-07-05 17:10:11,25.73,1,0,0,0,0.90290385,0.8148319776043933
TX_0000151,CUST_01457,2023-10-30 19:40:41,16.98,1,0,0,1,0.63936484,0.806199062774868
